IO::Socket::new	href=IO-Socket-pm-36-line.html#40
U64::BEGIN@1038	href=IO-Compress-Base-Common-pm-97-line.html#1038
URI::_punycode::BEGIN@22	href=URI-_punycode-pm-65-line.html#22
IO::Compress::Base::Common::BEGIN@149	href=IO-Compress-Base-Common-pm-97-line.html#149
integer::import	href=integer-pm-66-line.html#7
Compress::Raw::Zlib::BEGIN@122	href=Compress-Raw-Zlib-pm-95-line.html#122
AutoLoader::BEGIN@146	href=AutoLoader-pm-59-line.html#146
IO::Socket::SSL::SSL_Context::__ANON__[/usr/share/perl5/IO/Socket/SSL.pm:2558]	href=IO-Socket-SSL-pm-57-line.html#2542
LWP::Protocol::CORE:match	href=LWP-Protocol-pm-26-line.html#LWP__Protocol__CORE_match
URI::_punycode::BEGIN@4	href=URI-_punycode-pm-65-line.html#4
IO::Compress::Gzip::Constants::BEGIN@76	href=IO-Compress-Gzip-Constants-pm-107-line.html#76
HTTP::Config::add	href=HTTP-Config-pm-4-line.html#25
IO::Compress::Base::Common::BEGIN@7	href=IO-Compress-Base-Common-pm-97-line.html#7
IO::Uncompress::Base::BEGIN@22	href=IO-Uncompress-Base-pm-102-line.html#22
IO::Compress::Base::Common::BEGIN@50	href=IO-Compress-Base-Common-pm-97-line.html#50
URI::_generic::BEGIN@3	href=URI-_generic-pm-18-line.html#3
HTTP::Config::__ANON__[/usr/share/perl5/HTTP/Config.pm:154]	href=HTTP-Config-pm-4-line.html#144
IO::Compress::Gzip::Constants::BEGIN@65	href=IO-Compress-Gzip-Constants-pm-107-line.html#65
IO::Socket::SSL::BEGIN@22	href=IO-Socket-SSL-pm-57-line.html#22
bytes::import	href=bytes-pm-62-line.html#7
IO::Compress::Base::Common::BEGIN@495	href=IO-Compress-Base-Common-pm-97-line.html#495
Socket::getnameinfo	href=Socket-pm-43-line.html#Socket__getnameinfo
IO::Socket::SSL::SSL_Context::BEGIN@2099	href=IO-Socket-SSL-pm-57-line.html#2099
